\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s38/raw/KELT_S38_lc_083844_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Dec 21, 01:39:55 2013"               
\STOP_DATE = "Tue Dec 29, 01:51:13 2015"               
\fixlen = T
\NUMRECORDS = 989      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Fri Nov 01, 18:20:39 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456744.427747 14.53045 0.02903 
 2456744.449666 14.54473 0.02842 
 2456745.312915 14.55866 0.02489 
 2456745.337017 14.55171 0.03115 
 2456745.356675 14.57237 0.02987 
 2456745.373738 14.65753 0.02922 
 2456745.393321 14.60523 0.02871 
 2456745.412941 14.65646 0.02836 
 2456745.434717 14.61423 0.02862 
 2456746.308151 14.57090 0.03167 
 2456746.332182 14.53857 0.02966 
 2456746.354058 14.56508 0.03029 
 2456746.383165 14.54790 0.02887 
 2456746.400494 14.55364 0.02881 
 2456746.420116 14.51659 0.02803 
 2456746.444431 14.51018 0.02900 
 2456747.306009 14.59914 0.03241 
 2456747.330047 14.57322 0.03048 
 2456747.349507 14.48652 0.03019 
 2456747.383697 14.58090 0.02961 
 2456747.403375 14.54652 0.02919 
 2456747.423055 14.52751 0.02988 
 2456747.444963 14.57735 0.02897 
 2456748.419361 14.60405 0.04135 
 2456749.304392 14.58722 0.03089 
 2456749.345718 14.53119 0.03111 
 2456749.362800 14.53506 0.03445 
 2456749.382421 14.58661 0.03161 
 2456749.434735 14.49550 0.03277 
 2456751.303365 14.49505 0.03124 
 2456751.327508 14.55006 0.02978 
 2456751.346970 14.50152 0.03277 
 2456752.289191 14.51348 0.03483 
 2456752.311908 14.49755 0.03272 
 2456752.331614 14.52598 0.02887 
 2456752.351000 14.51322 0.03005 
 2456752.373792 14.55695 0.02887 
 2456752.393682 14.50266 0.02866 
 2456752.415550 14.59232 0.02790 
 2456752.435280 14.54001 0.02837 
 2456753.282901 14.54373 0.03457 
 2456753.302890 14.56001 0.03076 
 2456753.320340 14.51883 0.03105 
 2456753.337731 14.54632 0.03064 
 2456753.357389 14.49919 0.02943 
 2456753.374692 14.50562 0.02842 
 2456753.394419 14.55864 0.02816 
 2456753.416310 14.54932 0.02835 
 2456753.436055 14.50519 0.02837 
 2456754.281395 14.53668 0.03503 
 2456754.301875 14.54119 0.03615 
 2456754.319353 14.49769 0.03441 
 2456754.336578 14.53600 0.03312 
 2456754.356203 14.55130 0.03249 
 2456754.373427 14.47623 0.03175 
 2456754.404950 14.56857 0.02968 
 2456754.426890 14.58296 0.02931 
 2456755.298826 14.50568 0.03707 
 2456755.351296 14.56277 0.03285 
 2456755.366428 14.59527 0.03201 
 2456755.383925 14.56993 0.03195 
 2456755.401392 14.54392 0.03026 
 2456755.421116 14.54008 0.02837 
 2456756.329141 14.58261 0.03753 
 2456757.358883 14.56989 0.03868 
 2456757.368304 14.57126 0.03867 
 2456757.383450 14.49383 0.03773 
 2456758.297506 14.51785 0.04347 
 2456758.310189 14.53497 0.04546 
 2456758.322761 14.56385 0.04287 
 2456758.332975 14.56368 0.04132 
 2456758.345602 14.55876 0.04187 
 2456758.358313 14.62783 0.04125 
 2456758.373298 14.51428 0.04140 
 2456758.388300 14.53990 0.04050 
 2456758.408202 14.52559 0.04120 
 2456758.423220 14.43150 0.04118 
 2456759.308397 14.57003 0.05364 
 2456759.321022 14.58310 0.05081 
 2456759.331166 14.55422 0.04842 
 2456759.343805 14.58730 0.04657 
 2456759.356456 14.48823 0.04790 
 2456759.369115 14.53791 0.04630 
 2456759.381813 14.52608 0.04572 
 2456759.396739 14.57438 0.04455 
 2456759.409415 14.52877 0.04523 
 2456760.270484 14.52535 0.06003 
 2456760.287692 14.52773 0.05783 
 2456760.304954 14.52915 0.05787 
 2456760.315441 14.56814 0.05690 
 2456760.325898 14.54664 0.05535 
 2456760.336395 14.55854 0.05354 
 2456760.346868 14.53274 0.05238 
 2456760.355057 14.49661 0.05390 
 2456760.365694 14.54977 0.05118 
 2456760.376075 14.57812 0.05241 
 2456760.388703 14.58167 0.05369 
 2456760.399165 14.52360 0.05431 
 2456760.409599 14.55951 0.05133 
 2456765.243264 14.52292 0.03996 
 2456765.319558 14.56471 0.05547 
 2456765.387350 14.52372 0.05694 
 2456765.400279 14.56787 0.05495 
 2456766.243016 14.49297 0.03379 
 2456766.269519 14.51931 0.03681 
 2456766.291577 14.54569 0.03948 
 2456766.308802 14.56330 0.05431 
 2456766.343663 14.54394 0.04598 
 2456766.388968 14.49546 0.04885 
 2456766.401837 14.39035 0.05404 
 2456767.241279 14.87870 0.03350 
 2456767.267770 14.80680 0.03125 
 2456767.289696 14.86088 0.03142 
 2456767.309101 15.00799 0.03953 
 2456767.398901 14.58252 0.03748 
