\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1834     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:41:31 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454082.822158 15.31563 0.02131 
 2454083.696402 15.35008 0.02212 
 2454083.714457 15.37321 0.02341 
 2454083.718971 15.32862 0.02191 
 2454083.723485 15.35863 0.02115 
 2454083.739836 15.33032 0.02287 
 2454083.745205 15.32411 0.02159 
 2454083.750571 15.34546 0.02059 
 2454083.755943 15.33760 0.02048 
 2454083.761311 15.34794 0.01980 
 2454083.766672 15.31617 0.02058 
 2454083.772042 15.33138 0.02133 
 2454083.774151 15.30119 0.02115 
 2454083.778670 15.34718 0.02055 
 2454083.783193 15.32816 0.02056 
 2454083.787707 15.31592 0.02089 
 2454083.792221 15.33439 0.02073 
 2454083.796735 15.32345 0.02047 
 2454083.801249 15.35312 0.02017 
 2454083.805763 15.34823 0.02095 
 2454083.810276 15.33588 0.02071 
 2454083.819304 15.33833 0.02014 
 2454093.720082 15.35159 0.02084 
 2454093.759646 15.36439 0.02261 
 2454093.764377 15.33739 0.02122 
 2454093.769106 15.36264 0.02120 
 2454093.773837 15.33705 0.02163 
 2454093.778569 15.33466 0.02162 
 2454094.682033 15.35393 0.02244 
 2454094.686759 15.32623 0.02208 
 2454094.691485 15.37017 0.02157 
 2454094.696213 15.34120 0.02110 
 2454094.700940 15.41032 0.02054 
 2454094.705666 15.29966 0.02005 
 2454094.710392 15.33449 0.02077 
 2454094.715963 15.31935 0.01981 
