\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_025329_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Mar 29, 03:20:20 2010"               
\STOP_DATE = "Sat Sep 13, 18:14:15 2014"               
\fixlen = T
\NUMRECORDS = 1689     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:16 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455423.296737 14.09001 0.02057 
 2455423.308452 14.11470 0.01992 
 2455423.320181 14.15449 0.02076 
 2455423.329660 14.10182 0.01947 
 2455423.341405 14.10758 0.02066 
 2455437.243273 14.11233 0.01963 
 2455437.259373 14.08437 0.01917 
 2455437.273241 14.09365 0.01915 
 2455437.284816 14.11397 0.01865 
 2455437.298695 14.08847 0.01930 
 2455437.314649 14.12611 0.01942 
 2455438.245960 14.10998 0.02121 
 2455438.262036 14.13035 0.01968 
 2455438.275822 14.06400 0.01922 
 2455438.287403 14.11319 0.01936 
 2455438.301208 14.07584 0.01965 
 2455441.252631 14.18002 0.02079 
 2455441.266384 14.16943 0.02029 
 2455441.277910 14.18489 0.02020 
 2455441.291649 14.23144 0.02029 
 2455441.305382 14.24422 0.02058 
 2455442.251458 14.10695 0.02101 
 2455442.265192 14.14084 0.02001 
 2455442.276699 14.08623 0.02008 
 2455442.290443 14.07962 0.02024 
 2455443.252269 14.08457 0.02987 
 2455443.277671 14.03220 0.03301 
 2455443.293468 14.09626 0.02220 
 2455444.252442 14.29901 0.02124 
 2455444.263948 14.25350 0.01991 
 2455444.277668 14.23869 0.02128 
 2455444.293457 14.23397 0.02016 
 2455446.248365 14.15022 0.02081 
 2455449.252498 14.09970 0.02287 
 2455449.266265 14.10496 0.02375 
 2455449.282063 14.10467 0.02230 
 2455450.255411 14.10449 0.02402 
 2455450.267078 14.10188 0.02191 
 2455450.280834 14.09543 0.02246 
 2455459.246665 14.05523 0.03528 
 2455648.639959 14.11302 0.02490 
 2455648.648931 14.05343 0.02425 
 2455648.657782 14.13896 0.02968 
 2455649.638299 14.11262 0.02278 
 2455649.647164 14.11118 0.02375 
 2455649.656008 14.11116 0.02743 
 2455650.634154 14.08046 0.02273 
 2455650.646145 14.08337 0.02208 
 2455650.654988 14.10695 0.02406 
 2455654.632482 14.12206 0.01755 
 2455654.646500 14.03542 0.02240 
 2455654.653202 14.11809 0.02197 
 2455654.657637 14.14029 0.02354 
 2455655.628485 14.05924 0.02117 
 2455655.642513 14.07580 0.02135 
 2455655.649191 14.07437 0.02130 
 2455655.653605 14.07411 0.02149 
 2455655.658040 14.10042 0.02466 
 2455656.626247 14.06249 0.02391 
 2455656.640280 14.05343 0.02327 
 2455656.646971 14.10234 0.02345 
 2455656.651563 14.08386 0.02322 
 2455656.655992 14.07375 0.02410 
 2455656.660417 14.09298 0.02626 
 2455657.623036 14.25183 0.02045 
 2455657.637037 14.24969 0.02003 
 2455657.653252 14.24669 0.01982 
 2455657.657672 14.27041 0.01992 
 2455657.662094 14.22652 0.02431 
