\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s35/raw/KELT_S35_lc_027682_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri May 10, 17:31:41 2013"               
\STOP_DATE = "Thu Jun 01, 16:57:54 2017"               
\fixlen = T
\NUMRECORDS = 1386     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 28, 13:52:03 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456734.321175 13.26605 0.01569 
 2456734.340136 13.31495 0.01593 
 2456734.358291 13.32589 0.01608 
 2456734.374392 13.33085 0.01645 
 2456734.388559 13.38857 0.01697 
 2456734.401838 13.42511 0.01732 
 2456734.412174 13.38835 0.01778 
 2456734.422836 13.42117 0.01903 
 2456735.289744 13.13121 0.01335 
 2456735.311578 13.15179 0.01349 
 2456735.328822 13.13822 0.01364 
 2456735.343761 13.14370 0.01411 
 2456735.361034 13.13952 0.01449 
 2456735.376115 13.14635 0.01443 
 2456735.386522 13.12393 0.01490 
 2456735.398264 13.11555 0.01532 
 2456735.407833 13.13667 0.01533 
 2456735.417357 13.11732 0.01573 
 2456736.287926 13.12886 0.01182 
 2456736.334627 13.13104 0.01299 
 2456736.354094 13.13424 0.01318 
 2456736.371410 13.14582 0.01380 
 2456736.383987 13.11506 0.01383 
 2456736.399154 13.11214 0.01414 
 2456736.411018 13.14572 0.01483 
 2456737.374744 13.17532 0.01299 
 2456737.387458 13.21210 0.01327 
 2456737.399509 13.16982 0.01391 
 2456737.411447 13.20795 0.01408 
 2456738.395389 13.21071 0.01449 
 2456739.263831 13.13511 0.00995 
 2456739.278526 13.14415 0.00996 
 2456739.302621 13.14126 0.00989 
 2456739.326792 13.13409 0.00997 
 2456739.361168 13.14604 0.01027 
 2456739.380897 13.12904 0.01130 
 2456739.399119 13.14004 0.01194 
 2456744.255956 13.12594 0.01033 
 2456744.283343 13.13516 0.00999 
 2456744.309391 13.14296 0.00998 
 2456744.335302 13.13778 0.01001 
 2456744.359245 13.15214 0.01007 
 2456744.381062 13.13082 0.00998 
 2456745.276623 13.16622 0.01004 
 2456745.300765 13.13536 0.01041 
 2456745.322567 13.15289 0.01002 
 2456745.344435 13.14798 0.01006 
 2456745.366353 13.13395 0.00992 
 2456745.383545 13.15348 0.01001 
 2456746.271917 13.39841 0.00945 
 2456746.296033 13.37811 0.00935 
 2456746.317803 13.36803 0.00938 
 2456746.341876 13.34437 0.00950 
 2456746.363717 13.29188 0.00965 
 2456747.269885 13.14849 0.01005 
 2456747.293863 13.14175 0.00997 
 2456747.315685 13.16518 0.01007 
 2456747.339699 13.13949 0.01003 
 2456747.373789 13.14684 0.00982 
 2456749.335416 13.15568 0.01018 
 2456749.355308 13.16648 0.00933 
 2456749.372673 13.13702 0.01120 
 2456751.264989 13.29716 0.00941 
 2456751.289010 13.24574 0.00933 
 2456751.313092 13.23537 0.00938 
 2456751.337128 13.21319 0.00947 
 2456752.259501 13.12161 0.01015 
 2456752.279471 13.12156 0.01013 
 2456752.299700 13.11257 0.01007 
 2456752.319362 13.11983 0.00998 
 2456752.341242 13.12362 0.00978 
 2456752.364033 13.12104 0.00984 
 2456759.298686 13.48212 0.01739 
 2456759.313481 13.44799 0.01838 
 2456759.326078 13.43800 0.01925 
 2456760.243280 13.11596 0.01745 
 2456760.258376 13.13808 0.01691 
 2456760.275590 13.16298 0.01677 
 2456760.292839 13.10917 0.01754 
 2456760.307915 13.16348 0.01774 
 2456760.318374 13.14188 0.01874 
 2456760.331309 13.13184 0.01841 
 2456760.341769 13.14112 0.01917 
 2456764.243856 13.12743 0.01406 
 2456764.304040 13.14376 0.01592 
 2456764.319417 13.12167 0.01624 
 2456764.331533 13.14564 0.01667 
 2456765.277952 13.14425 0.01406 
 2456766.255114 13.15663 0.01060 
 2456767.277456 13.55284 0.00977 
 2456768.252090 13.14446 0.01070 
 2456768.276359 13.13223 0.00980 
 2456768.298319 13.13346 0.00905 
 2456768.317848 13.11869 0.01072 
 2456769.253388 13.13673 0.01030 
 2456769.277550 13.15328 0.00995 
 2456769.300714 13.14711 0.00538 
 2456772.309205 13.13005 0.00966 
 2456773.249730 13.12986 0.01064 
 2456773.273881 13.13947 0.01043 
 2456773.296023 13.14086 0.01052 
 2456773.315701 13.13887 0.01059 
 2456774.250805 13.14184 0.01203 
 2456775.294673 13.38117 0.00938 
 2456776.246163 13.13749 0.01120 
 2456776.271591 13.15134 0.01071 
 2456776.294060 13.14849 0.01052 
 2456777.245438 13.13025 0.01117 
 2456777.286814 13.12560 0.01029 
 2456778.235731 13.18540 0.01080 
 2456778.259889 13.16925 0.01077 
 2456778.282098 13.18417 0.01016 
 2456778.301715 13.18937 0.01032 
 2456779.241731 13.20064 0.01116 
 2456779.263826 13.19643 0.01119 
 2456779.285871 13.17890 0.01115 
 2456790.221291 13.12638 0.01513 
 2456790.233930 13.13801 0.01555 
 2456790.244203 13.13295 0.01569 
 2456790.253801 13.14772 0.01587 
 2456790.263341 13.14110 0.01621 
 2456791.222523 13.13533 0.01774 
 2456791.235108 13.13627 0.01828 
 2456792.235567 13.22259 0.01989 
 2456792.248360 13.20217 0.02082 
 2456792.260183 13.18004 0.02078 
 2456795.240008 13.46322 0.01211 
 2456801.233113 13.14943 0.00932 
 2456988.589639 13.17670 0.01092 
 2456990.580629 13.14920 0.00999 
 2456992.574812 13.13076 0.01072 
