\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_028632_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Mar 13, 02:12:55 2010"               
\STOP_DATE = "Tue Aug 19, 17:31:42 2014"               
\fixlen = T
\NUMRECORDS = 1954     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:15 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455395.282020 14.27165 0.02701 
 2455395.284271 14.25321 0.02645 
 2455395.286450 14.25701 0.02494 
 2455395.288665 14.25380 0.02635 
 2455395.293254 14.29235 0.02653 
 2455395.297856 14.25911 0.02452 
 2455395.304564 14.27268 0.02626 
 2455395.311263 14.24231 0.02643 
 2455395.317966 14.27432 0.02416 
 2455396.228097 14.21690 0.03574 
 2455396.230285 14.19978 0.03314 
 2455396.232465 14.27889 0.03521 
 2455396.234637 14.26547 0.03420 
 2455396.236817 14.24164 0.03468 
 2455396.238997 14.27307 0.03400 
 2455396.241177 14.27370 0.03333 
 2455396.243364 14.24114 0.03217 
 2455396.245539 14.26517 0.03293 
 2455396.247723 14.28283 0.03443 
 2455396.249893 14.28216 0.03172 
 2455396.252080 14.27921 0.03347 
 2455396.254266 14.26413 0.03209 
 2455396.256436 14.20978 0.03273 
 2455396.258618 14.23423 0.03370 
 2455396.260828 14.21283 0.03289 
 2455396.263014 14.25807 0.03351 
 2455396.265192 14.21038 0.03233 
 2455396.267374 14.28457 0.03320 
 2455396.269555 14.26669 0.03159 
 2455396.271741 14.25914 0.03039 
 2455396.273914 14.28552 0.03353 
 2455396.276098 14.24484 0.03249 
 2455396.278296 14.26729 0.03374 
 2455396.280473 14.25755 0.03136 
 2455396.282648 14.28282 0.02968 
 2455396.284831 14.28936 0.03091 
 2455396.289415 14.23761 0.03146 
 2455396.294011 14.29913 0.03033 
 2455396.300725 14.25129 0.03317 
 2455396.307424 14.27378 0.03246 
 2455396.314149 14.24421 0.02995 
 2455396.320862 14.26660 0.03071 
 2455405.221997 14.25193 0.02994 
 2455405.228509 14.23301 0.03294 
 2455405.240239 14.21246 0.04573 
 2455405.254200 14.22010 0.05091 
 2455405.268147 14.36442 0.05082 
 2455405.282005 14.21504 0.05941 
 2455406.222379 14.30417 0.02660 
 2455406.228868 14.24061 0.02443 
 2455406.240571 14.24216 0.02514 
 2455406.254493 14.26159 0.02273 
 2455406.268416 14.22254 0.03181 
 2455406.282229 14.30368 0.03794 
 2455408.222987 14.22549 0.02568 
 2455408.228275 14.28615 0.02804 
 2455408.242181 14.31801 0.02707 
 2455408.256080 14.27021 0.02509 
 2455408.272042 14.33238 0.02411 
 2455408.285839 14.26552 0.02432 
 2455409.225292 14.24623 0.02837 
 2455409.230578 14.28152 0.02571 
 2455409.244490 14.24175 0.02483 
 2455409.258418 14.27804 0.02356 
 2455409.272232 14.24134 0.02433 
 2455409.286040 14.26911 0.02234 
 2455410.221948 14.24138 0.02511 
 2455410.224070 14.29594 0.02420 
 2455410.238019 14.28326 0.02324 
 2455410.251954 14.23950 0.02205 
 2455410.267946 14.25670 0.02373 
 2455410.281743 14.25122 0.02292 
 2455411.222422 14.46643 0.02303 
 2455411.224541 14.48108 0.02339 
 2455411.226659 14.40898 0.02482 
 2455411.240579 14.41622 0.02295 
 2455411.254498 14.47649 0.02380 
 2455411.268337 14.48006 0.02282 
 2455412.223010 14.30008 0.02182 
 2455412.225131 14.28708 0.02215 
 2455412.227249 14.32561 0.02104 
 2455412.241210 14.28800 0.02058 
 2455412.255167 14.26282 0.01928 
 2455412.269033 14.30250 0.02077 
 2455413.223143 14.28865 0.02427 
 2455413.225272 14.28277 0.02450 
 2455413.227388 14.31551 0.02467 
 2455413.241375 14.25616 0.02459 
 2455413.257428 14.28180 0.02229 
 2455413.271303 14.25072 0.02377 
 2455415.224473 14.26628 0.02333 
 2455415.226589 14.21961 0.02529 
 2455415.254523 14.23041 0.02332 
 2455415.268355 14.24219 0.02265 
 2455416.224890 14.25401 0.02458 
 2455416.227009 14.22259 0.02639 
 2455416.240915 14.28240 0.02503 
 2455416.254715 14.27074 0.02287 
 2455418.233110 14.27106 0.02111 
 2455418.246994 14.27158 0.01991 
 2455418.260846 14.29532 0.02109 
 2455419.226029 14.23903 0.02213 
 2455419.230578 14.26691 0.02266 
 2455419.244425 14.22637 0.02052 
 2455419.258283 14.26444 0.02051 
 2455420.227295 14.24748 0.02177 
 2455420.233965 14.26541 0.02238 
 2455421.227304 14.22178 0.02624 
 2455421.233981 14.24431 0.02308 
 2455421.245679 14.24188 0.01497 
 2455422.228353 14.45841 0.02265 
 2455422.235019 14.41945 0.02246 
 2455422.241752 14.39036 0.02123 
 2455422.248478 14.45250 0.02187 
 2455423.234661 14.28609 0.02379 
 2455423.241384 14.28422 0.02680 
 2455648.540186 14.35638 0.02857 
 2455648.554484 14.33788 0.02623 
 2455648.580553 14.32501 0.06155 
 2455648.594847 14.27218 0.02648 
 2455648.608969 14.30181 0.02613 
 2455648.618721 14.32365 0.02626 
 2455648.628472 14.29376 0.02812 
 2455649.538785 14.44722 0.02833 
 2455649.552908 14.42952 0.02595 
 2455649.567075 14.40100 0.02645 
 2455649.578929 14.39941 0.02624 
 2455649.593071 14.35820 0.02580 
 2455649.607195 14.32774 0.02685 
 2455649.616942 14.40104 0.02567 
 2455649.626704 14.34554 0.02635 
 2455650.537175 14.21290 0.02554 
 2455650.551286 14.30376 0.02276 
 2455650.565451 14.27707 0.02396 
 2455650.577345 14.31680 0.02433 
 2455650.591554 14.23385 0.02307 
 2455650.605665 14.27286 0.02270 
 2455650.617558 14.28392 0.02528 
 2455654.566942 14.33877 0.02315 
 2455654.581215 14.29896 0.02197 
 2455654.597450 14.25845 0.02125 
 2455654.611526 14.34676 0.02016 
 2455655.522543 14.27593 0.02613 
 2455655.536815 14.20674 0.02254 
 2455655.551123 14.27585 0.02294 
 2455655.563031 14.27560 0.02268 
 2455655.577212 14.29095 0.02204 
 2455655.593525 14.23586 0.02340 
 2455655.607562 14.29911 0.02228 
 2455656.520150 14.23965 0.02736 
 2455656.534451 14.23415 0.02533 
 2455656.548745 14.32606 0.02497 
 2455656.560626 14.32795 0.02635 
 2455656.574770 14.32843 0.02527 
 2455656.591136 14.25091 0.02485 
 2455656.605272 14.27132 0.02341 
 2455657.517501 14.35339 0.02513 
 2455657.531643 14.33287 0.02383 
 2455657.545795 14.39978 0.02264 
 2455657.557674 14.41301 0.02348 
 2455657.571820 14.39231 0.02306 
 2455657.588089 14.41606 0.02154 
 2455657.602136 14.46240 0.02172 
 2455660.521158 14.42162 0.02360 
 2455660.535334 14.34424 0.02452 
 2455660.547228 14.37199 0.02511 
 2455660.561361 14.33872 0.02415 
 2455660.575503 14.28857 0.02462 
 2455661.505501 14.27127 0.02684 
 2455661.519842 14.28515 0.02636 
 2455661.533988 14.28017 0.02597 
 2455661.545872 14.33057 0.02574 
 2455661.560048 14.29475 0.02468 
 2455661.576384 14.30457 0.02187 
 2455661.590504 14.27133 0.02254 
 2455664.506068 14.23114 0.02465 
 2455664.520367 14.27577 0.02480 
 2455664.532374 14.28405 0.02292 
 2455664.546592 14.34750 0.02420 
 2455664.560736 14.28184 0.02406 
 2455666.525892 14.22607 0.04482 
 2455666.537680 14.33166 0.03537 
 2455666.549466 14.19051 0.03934 
 2455666.577342 14.19258 0.02537 
 2455682.448798 14.25599 0.02543 
 2455682.462850 14.27676 0.02522 
 2455682.477059 14.34019 0.02596 
 2455682.488868 14.28386 0.02555 
 2455682.503012 14.28956 0.02657 
 2455682.533330 14.25346 0.02608 
 2455692.426961 14.31745 0.03014 
 2455692.441072 14.20657 0.02787 
 2455692.452939 14.32666 0.02669 
 2455692.467027 14.26896 0.02765 
 2455692.481145 14.29306 0.02556 
 2455692.497268 14.33414 0.02562 
 2455693.420549 14.33079 0.03292 
 2455693.434697 14.25032 0.03055 
 2455693.446575 14.32760 0.02906 
 2455693.460676 14.30303 0.02817 
 2455693.474796 14.27763 0.02615 
 2455693.491056 14.23370 0.02446 
 2455693.505072 14.27598 0.02411 
 2455694.414626 14.22479 0.03537 
 2455694.424390 14.25638 0.03704 
 2455694.434189 14.29794 0.03756 
