\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_030753_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sun Jan 03, 20:25:35 2010"               
\STOP_DATE = "Sun Apr 06, 17:48:45 2014"               
\fixlen = T
\NUMRECORDS = 2692     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 13:06:47 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455214.365650 13.53316 0.01353 
 2455214.367712 13.50155 0.01166 
 2455214.369776 13.49902 0.01157 
 2455214.371841 13.52055 0.01245 
 2455214.373906 13.51391 0.01230 
 2455214.375971 13.52063 0.01220 
 2455214.378030 13.51826 0.01222 
 2455214.380091 13.51085 0.01206 
 2455214.382153 13.50764 0.01173 
 2455214.384213 13.50338 0.01212 
 2455214.386270 13.50140 0.01172 
 2455214.388332 13.49756 0.01166 
 2455216.310920 13.51862 0.01352 
 2455216.312980 13.54085 0.01343 
 2455216.317104 13.52653 0.01307 
 2455216.323289 13.52697 0.01281 
 2455216.325354 13.50527 0.01204 
 2455216.327418 13.50545 0.01301 
 2455216.329473 13.50376 0.01284 
 2455216.331536 13.50410 0.01283 
 2455216.333599 13.52816 0.01320 
 2455216.335657 13.51262 0.01287 
 2455216.337715 13.48058 0.01211 
 2455216.339778 13.54160 0.01360 
 2455216.341848 13.51196 0.01373 
 2455216.343911 13.51994 0.01319 
 2455216.345971 13.48961 0.01328 
 2455216.348029 13.53355 0.01372 
 2455216.350094 13.50443 0.01290 
 2455216.352155 13.50888 0.01331 
 2455216.354218 13.55281 0.01359 
 2455216.356283 13.53781 0.01417 
 2455216.358340 13.52277 0.01376 
 2455216.360403 13.50863 0.01304 
 2455216.362461 13.51645 0.01321 
 2455216.366580 13.49141 0.01278 
 2455216.368640 13.49654 0.01274 
 2455216.370703 13.50626 0.01344 
 2455216.372765 13.50722 0.01304 
 2455216.374828 13.49760 0.01385 
 2455216.376887 13.52118 0.01355 
 2455216.378944 13.54736 0.01342 
 2455216.381005 13.47920 0.01227 
 2455216.383064 13.51694 0.01340 
 2455216.385126 13.50551 0.01338 
 2455216.387185 13.50029 0.01228 
 2455216.389244 13.53233 0.01310 
 2455216.391305 13.51148 0.01341 
 2455216.393368 13.53082 0.01305 
 2455216.395432 13.52091 0.01303 
 2455216.397490 13.50740 0.01266 
 2455216.399553 13.48109 0.01185 
 2455216.401618 13.51975 0.01270 
 2455216.403675 13.52166 0.01321 
 2455216.405740 13.53484 0.01318 
 2455216.407799 13.50645 0.01291 
 2455216.409860 13.52361 0.01375 
 2455216.411921 13.51286 0.01310 
 2455216.413979 13.50223 0.01252 
 2455216.416048 13.50855 0.01281 
 2455216.418109 13.50953 0.01286 
 2455216.426351 13.52233 0.01281 
 2455216.428410 13.52685 0.01247 
 2455216.430472 13.50003 0.01233 
 2455216.432531 13.52319 0.01214 
 2455216.434591 13.51441 0.01232 
 2455216.436653 13.51106 0.01186 
 2455216.438712 13.47521 0.01179 
 2455216.440772 13.51229 0.01188 
 2455216.442831 13.51945 0.01233 
 2455216.444893 13.52149 0.01232 
 2455216.446955 13.51025 0.01199 
 2455216.449013 13.49652 0.01184 
 2455216.451077 13.48096 0.01132 
 2455216.453137 13.51244 0.01217 
 2455217.308994 13.46963 0.01359 
 2455217.310941 13.51422 0.01339 
 2455217.312996 13.48590 0.01372 
 2455217.315058 13.51834 0.01351 
 2455217.317118 13.50431 0.01345 
 2455217.319180 13.50184 0.01325 
 2455217.321354 13.51345 0.01428 
 2455217.323415 13.51558 0.01341 
 2455217.325477 13.49841 0.01298 
 2455217.327538 13.51793 0.01319 
 2455217.329604 13.49450 0.01300 
 2455217.331655 13.54086 0.01339 
 2455217.333713 13.51018 0.01336 
 2455217.335773 13.47232 0.01242 
 2455217.337829 13.51375 0.01273 
 2455217.339890 13.52468 0.01301 
 2455217.341963 13.48553 0.01212 
 2455217.344024 13.50732 0.01304 
 2455217.346080 13.48248 0.01211 
 2455217.348135 13.49003 0.01244 
 2455217.350196 13.49457 0.01238 
 2455217.352237 13.48952 0.01224 
 2455217.354303 13.50715 0.01240 
 2455217.356360 13.49612 0.01224 
 2455217.358415 13.48586 0.01248 
 2455217.360476 13.51172 0.01252 
 2455217.362532 13.49642 0.01257 
 2455217.364587 13.49693 0.01232 
 2455217.366650 13.50064 0.01249 
 2455217.368837 13.49284 0.01248 
 2455217.370894 13.49891 0.01246 
 2455217.372950 13.51648 0.01234 
 2455217.375019 13.50139 0.01220 
 2455217.377074 13.51161 0.01239 
 2455217.379129 13.47997 0.01246 
 2455217.381190 13.50298 0.01214 
 2455217.383251 13.51007 0.01250 
 2455217.385317 13.50559 0.01237 
 2455217.387380 13.49440 0.01227 
 2455217.389437 13.52955 0.01269 
 2455217.391496 13.50568 0.01245 
 2455217.393551 13.50122 0.01206 
 2455217.395612 13.49781 0.01225 
 2455217.397669 13.49238 0.01228 
 2455217.399729 13.50642 0.01238 
 2455217.401789 13.52026 0.01222 
 2455217.403848 13.51296 0.01256 
 2455217.405908 13.49355 0.01193 
 2455217.407969 13.50492 0.01214 
 2455217.410032 13.49052 0.01195 
 2455217.412090 13.52266 0.01225 
 2455217.414149 13.50909 0.01238 
 2455217.416209 13.52003 0.01269 
 2455217.418267 13.49830 0.01190 
 2455217.420325 13.48560 0.01191 
 2455217.422381 13.51505 0.01214 
 2455217.424438 13.49357 0.01181 
 2455217.426502 13.50321 0.01234 
 2455217.428561 13.51246 0.01220 
 2455217.430619 13.51587 0.01224 
 2455217.432678 13.53271 0.01209 
 2455217.434733 13.51108 0.01193 
 2455217.436791 13.49070 0.01162 
 2455217.438847 13.50252 0.01188 
 2455217.440904 13.48130 0.01150 
 2455217.442961 13.51948 0.01210 
 2455217.445017 13.50704 0.01190 
 2455217.447076 13.50231 0.01183 
 2455217.449131 13.49882 0.01162 
 2455218.306210 13.47683 0.01423 
 2455218.308267 13.48571 0.01373 
 2455218.310323 13.51106 0.01396 
 2455218.312386 13.53206 0.01471 
 2455218.314441 13.52862 0.01396 
 2455218.316571 13.50247 0.01375 
 2455218.318634 13.51250 0.01420 
 2455218.320691 13.47955 0.01337 
 2455218.322752 13.49372 0.01311 
 2455218.324810 13.49370 0.01297 
 2455218.326862 13.50354 0.01346 
 2455218.328925 13.51927 0.01367 
 2455218.330986 13.51725 0.01380 
 2455218.333049 13.53515 0.01401 
 2455218.335109 13.50007 0.01308 
 2455218.337173 13.50170 0.01297 
 2455218.339233 13.49034 0.01285 
 2455218.341291 13.52175 0.01314 
 2455218.343351 13.50847 0.01275 
 2455218.345411 13.48044 0.01239 
 2455218.347471 13.49380 0.01290 
 2455218.349535 13.50580 0.01284 
 2455218.351590 13.49975 0.01261 
