\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1670     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:44:40 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454081.728118 15.32433 0.02165 
 2454081.732634 15.34019 0.02208 
 2454081.737156 15.32627 0.02216 
 2454081.744483 15.32048 0.02241 
 2454081.748998 15.36426 0.02246 
 2454081.754361 15.35950 0.02098 
 2454081.759729 15.35488 0.02087 
 2454081.765091 15.32727 0.02068 
 2454081.770459 15.33128 0.02074 
 2454081.775829 15.31423 0.02023 
 2454081.781189 15.36579 0.02054 
 2454081.783298 15.33088 0.02071 
 2454081.787817 15.35840 0.02058 
 2454081.792338 15.32704 0.02107 
 2454081.796856 15.33627 0.02083 
 2454081.801370 15.34505 0.02160 
 2454081.805886 15.35280 0.02191 
 2454081.810408 15.32696 0.02178 
 2454081.814930 15.34673 0.02224 
 2454081.819448 15.31622 0.02343 
 2454081.823962 15.35823 0.02221 
 2454082.764170 15.32341 0.02127 
 2454082.769531 15.33195 0.02069 
 2454082.774892 15.36295 0.02119 
 2454082.777001 15.33860 0.02045 
 2454082.781519 15.35037 0.02101 
 2454082.786035 15.33084 0.02083 
 2454082.790551 15.34230 0.02088 
 2454082.795072 15.35067 0.02124 
 2454082.799586 15.36534 0.02123 
 2454082.804100 15.37490 0.02131 
 2454082.808614 15.34367 0.02179 
 2454082.813128 15.33413 0.02167 
 2454082.817642 15.34378 0.02160 
 2454082.822158 15.32159 0.02131 
 2454083.696402 15.34664 0.02212 
 2454083.714457 15.36503 0.02341 
 2454083.718971 15.32422 0.02191 
 2454083.723485 15.34362 0.02115 
 2454083.739836 15.33498 0.02287 
 2454083.745205 15.31834 0.02159 
 2454083.750571 15.33219 0.02059 
 2454083.755943 15.33189 0.02048 
 2454083.761311 15.34155 0.01980 
 2454083.766672 15.31998 0.02058 
 2454083.772042 15.33317 0.02133 
 2454083.774151 15.30476 0.02115 
 2454083.778670 15.34645 0.02055 
 2454083.783193 15.32733 0.02056 
 2454083.787707 15.31693 0.02089 
 2454083.792221 15.35136 0.02073 
 2454083.796735 15.32030 0.02047 
 2454083.801249 15.35017 0.02017 
 2454083.805763 15.35279 0.02095 
 2454083.810276 15.33349 0.02071 
 2454083.819304 15.34612 0.02014 
 2454093.720082 15.35014 0.02084 
 2454093.759646 15.35885 0.02261 
 2454093.764377 15.35183 0.02122 
 2454093.769106 15.35496 0.02120 
 2454093.773837 15.34312 0.02163 
 2454093.778569 15.34873 0.02162 
 2454094.682033 15.35007 0.02244 
 2454094.686759 15.34474 0.02208 
 2454094.691485 15.36615 0.02157 
 2454094.696213 15.35857 0.02110 
 2454094.700940 15.40523 0.02054 
 2454094.705666 15.31699 0.02005 
 2454094.710392 15.33499 0.02077 
 2454094.715963 15.32794 0.01981 
 2454094.721536 15.32723 0.02030 
 2454094.727106 15.33992 0.02182 
 2454094.732677 15.36592 0.01984 
 2454094.738249 15.35071 0.02100 
 2454094.743820 15.34153 0.02119 
 2454094.746030 15.33167 0.02029 
 2454094.750756 15.36016 0.01988 
 2454094.755482 15.36579 0.02064 
 2454094.760208 15.34822 0.01988 
 2454094.764934 15.34766 0.01998 
 2454094.769694 15.32656 0.01970 
 2454094.774424 15.33743 0.02004 
 2454094.779146 15.33666 0.02130 
 2454094.783867 15.36809 0.02038 
 2454094.788588 15.33248 0.02059 
 2454095.709932 15.36754 0.02161 
 2454095.715502 15.32186 0.02206 
 2454095.721074 15.36480 0.02053 
 2454095.726648 15.35589 0.02096 
 2454095.732219 15.36285 0.01987 
 2454095.734417 15.33852 0.01981 
 2454095.739153 15.37143 0.02001 
 2454095.743879 15.35801 0.02072 
 2454095.748604 15.33248 0.01981 
 2454095.753330 15.33385 0.01805 
 2454095.758055 15.36648 0.01943 
 2454095.762783 15.35532 0.01948 
 2454095.767508 15.33610 0.01909 
 2454095.772229 15.34534 0.01858 
 2454095.776959 15.36629 0.01760 
 2454095.781685 15.33291 0.01875 
 2454095.786411 15.37616 0.01962 
 2454107.621477 15.37491 0.02165 
 2454107.626202 15.33050 0.02166 
 2454108.617407 15.37824 0.02105 
 2454108.622128 15.35443 0.02040 
 2454108.626849 15.36116 0.02099 
 2454108.631568 15.37443 0.02142 
 2454108.636289 15.35813 0.02088 
