\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_014406_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Jan 04, 00:00:01 2010"               
\STOP_DATE = "Fri Jun 13, 17:25:01 2014"               
\fixlen = T
\NUMRECORDS = 2963     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 11:03:09 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455226.559217 12.65822 0.00939 
 2455226.561276 12.67320 0.01018 
 2455226.563335 12.66038 0.00981 
 2455226.565394 12.66078 0.00972 
 2455226.567451 12.66990 0.01017 
 2455226.569514 12.66722 0.00990 
 2455226.571573 12.66890 0.00996 
 2455226.573632 12.66949 0.01002 
 2455226.575693 12.66892 0.01023 
 2455226.577754 12.66877 0.01014 
 2455226.579816 12.66486 0.00967 
 2455226.581872 12.65436 0.00991 
 2455227.425063 12.67055 0.00986 
 2455227.427120 12.66890 0.00975 
 2455227.429194 12.65773 0.00948 
 2455227.431250 12.66709 0.00951 
 2455227.433311 12.65616 0.00942 
 2455227.435367 12.67045 0.00927 
 2455227.437431 12.67494 0.00957 
 2455227.439486 12.66625 0.00966 
 2455227.441545 12.67483 0.00924 
 2455227.443602 12.66836 0.00956 
 2455227.445660 12.65004 0.00935 
 2455227.447726 12.67508 0.00938 
 2455227.449786 12.65140 0.00930 
 2455227.451841 12.67377 0.00974 
 2455227.453902 12.64719 0.00904 
 2455227.455959 12.66235 0.00923 
 2455227.458021 12.67028 0.00957 
 2455227.460079 12.66332 0.00926 
 2455227.462138 12.65829 0.00924 
 2455227.464197 12.66337 0.00942 
 2455227.466256 12.66729 0.00954 
 2455227.468313 12.67442 0.00949 
 2455227.470370 12.66689 0.00882 
 2455227.472429 12.64767 0.00940 
 2455227.474487 12.66514 0.00934 
 2455227.476546 12.65528 0.00956 
 2455227.478610 12.66650 0.00935 
 2455227.480670 12.66101 0.00909 
 2455227.482733 12.66844 0.00963 
 2455227.484791 12.65258 0.00929 
 2455227.486851 12.67223 0.00971 
 2455227.488910 12.66499 0.00961 
 2455227.490967 12.65333 0.00903 
 2455227.493026 12.65864 0.00943 
 2455227.495084 12.66605 0.00931 
 2455227.497141 12.65018 0.00930 
 2455227.499200 12.66690 0.00959 
 2455227.501257 12.65771 0.00943 
 2455227.503318 12.67237 0.00972 
 2455227.505377 12.66487 0.00963 
 2455227.507434 12.66081 0.00919 
 2455227.509504 12.66864 0.00958 
 2455227.511562 12.66511 0.00950 
 2455227.513623 12.65872 0.00919 
 2455227.515680 12.65745 0.00934 
 2455227.517738 12.67368 0.00958 
 2455227.519797 12.66030 0.00919 
 2455227.521853 12.66266 0.00956 
 2455227.523913 12.65027 0.00928 
 2455227.525970 12.66407 0.00946 
 2455227.528030 12.65203 0.00929 
 2455227.530094 12.67001 0.00928 
 2455227.532152 12.67307 0.00975 
 2455227.534212 12.65140 0.00915 
 2455227.536274 12.64637 0.00963 
 2455227.538336 12.65323 0.00934 
 2455227.540393 12.65553 0.00958 
 2455227.542454 12.65520 0.00967 
 2455227.544514 12.67436 0.00944 
 2455227.546572 12.65249 0.00956 
 2455227.548629 12.66327 0.00947 
 2455227.550687 12.67112 0.00969 
 2455227.552743 12.65724 0.00970 
 2455227.554804 12.66222 0.00936 
 2455227.556860 12.67031 0.00976 
 2455227.565092 12.65159 0.00944 
 2455227.569211 12.65589 0.00975 
 2455228.422783 12.65733 0.00860 
 2455228.424853 12.66127 0.00832 
 2455228.426911 12.67535 0.00828 
 2455228.428967 12.65325 0.00828 
 2455228.431030 12.66917 0.00881 
 2455228.433092 12.66991 0.00822 
 2455228.435148 12.65844 0.00832 
 2455228.437211 12.67107 0.00841 
 2455228.439268 12.65402 0.00807 
 2455228.441329 12.67633 0.00846 
 2455228.443389 12.66072 0.00821 
 2455228.445448 12.67026 0.00843 
 2455228.447508 12.66800 0.00792 
 2455228.449568 12.67289 0.00831 
 2455228.451629 12.66813 0.00845 
 2455228.453687 12.66761 0.00798 
 2455228.455746 12.66334 0.00844 
 2455228.457805 12.67275 0.00841 
 2455228.459862 12.68141 0.00850 
 2455228.461916 12.68057 0.00825 
 2455228.463974 12.68069 0.00853 
 2455228.466032 12.68940 0.00863 
 2455228.468091 12.68752 0.00820 
 2455228.470148 12.69048 0.00857 
 2455228.472209 12.70889 0.00877 
 2455228.474268 12.68889 0.00860 
 2455229.420563 12.67831 0.00791 
 2455229.422634 12.66218 0.00756 
 2455229.424691 12.67257 0.00754 
 2455229.426752 12.66218 0.00770 
 2455229.428809 12.65444 0.00749 
 2455229.430878 12.66567 0.00767 
 2455229.432936 12.66983 0.00766 
 2455229.434998 12.67396 0.00766 
 2455229.437057 12.67385 0.00755 
 2455229.439120 12.66165 0.00769 
 2455229.441180 12.67481 0.00795 
 2455229.443239 12.65756 0.00729 
 2455229.445302 12.66678 0.00759 
 2455229.447359 12.66259 0.00776 
 2455229.449417 12.66776 0.00741 
 2455229.451476 12.66870 0.00774 
 2455229.453538 12.65870 0.00758 
 2455229.455600 12.66311 0.00780 
 2455229.457660 12.66534 0.00730 
 2455229.459719 12.65276 0.00754 
 2455229.461779 12.65833 0.00759 
 2455229.463837 12.67521 0.00769 
 2455229.465895 12.66062 0.00756 
 2455229.467955 12.65290 0.00746 
 2455229.470013 12.66430 0.00757 
 2455229.472077 12.65684 0.00758 
 2455229.474134 12.65569 0.00737 
 2455229.476191 12.67971 0.00751 
 2455229.478251 12.65607 0.00730 
 2455229.480313 12.66324 0.00736 
 2455229.482370 12.65639 0.00740 
 2455229.484430 12.66813 0.00760 
 2455229.486488 12.66534 0.00768 
 2455229.488545 12.64933 0.00734 
 2455229.490604 12.65543 0.00749 
 2455229.492660 12.65887 0.00752 
 2455229.494719 12.65603 0.00757 
 2455229.496785 12.67092 0.00766 
 2455229.498842 12.66065 0.00769 
 2455229.500901 12.66556 0.00768 
 2455229.502962 12.66617 0.00761 
 2455229.505024 12.66252 0.00740 
 2455229.507086 12.66560 0.00741 
 2455229.509141 12.67168 0.00734 
 2455229.511202 12.66217 0.00756 
 2455229.513261 12.65441 0.00761 
 2455229.515320 12.67102 0.00775 
 2455229.517380 12.67050 0.00765 
 2455229.519436 12.66924 0.00774 
 2455229.521492 12.65542 0.00761 
 2455229.523552 12.67269 0.00764 
 2455229.525610 12.65575 0.00765 
 2455229.527669 12.65756 0.00721 
 2455229.529726 12.67295 0.00757 
 2455229.531784 12.67398 0.00746 
 2455229.533842 12.66998 0.00766 
 2455229.535903 12.66305 0.00754 
 2455229.537964 12.65062 0.00769 
 2455229.540022 12.66186 0.00768 
 2455229.542082 12.66169 0.00738 
 2455229.544139 12.64702 0.00751 
 2455229.546196 12.66622 0.00751 
 2455229.548258 12.67258 0.00755 
 2455229.550316 12.65891 0.00754 
 2455229.552374 12.66532 0.00755 
 2455229.554433 12.66779 0.00740 
 2455229.556489 12.65786 0.00780 
 2455229.558550 12.66158 0.00732 
 2455229.560609 12.66551 0.00773 
 2455229.562670 12.65605 0.00752 
 2455229.564726 12.65695 0.00764 
 2455229.566782 12.67974 0.00784 
 2455229.568838 12.65379 0.00744 
 2455229.570896 12.66104 0.00770 
 2455229.572954 12.66368 0.00757 
 2455229.575011 12.65046 0.00754 
 2455229.577069 12.65765 0.00772 
 2455229.579130 12.65701 0.00756 
 2455229.581189 12.66793 0.00782 
 2455229.583249 12.65517 0.00756 
 2455229.585306 12.67066 0.00790 
 2455229.587362 12.67077 0.00793 
 2455229.589420 12.66783 0.00769 
 2455229.591477 12.66363 0.00767 
 2455229.593537 12.65937 0.00780 
 2455229.595596 12.66372 0.00786 
 2455229.597651 12.66704 0.00757 
 2455229.599718 12.66258 0.00777 
 2455229.601775 12.66242 0.00778 
 2455230.417052 12.65567 0.00653 
 2455230.419109 12.67263 0.00682 
 2455230.421184 12.65975 0.00633 
 2455230.423241 12.67729 0.00661 
 2455230.425299 12.65735 0.00651 
 2455230.427367 12.64303 0.00635 
 2455230.429424 12.66845 0.00654 
 2455230.431482 12.65904 0.00653 
 2455230.433547 12.66012 0.00636 
 2455230.435607 12.66718 0.00650 
 2455230.437664 12.67361 0.00669 
 2455230.439721 12.66928 0.00637 
 2455230.441783 12.66172 0.00667 
 2455230.443841 12.67196 0.00666 
 2455230.445900 12.65463 0.00659 
 2455230.447960 12.65907 0.00653 
 2455230.450018 12.65296 0.00654 
 2455230.452076 12.66681 0.00666 
 2455230.454137 12.65663 0.00634 
 2455230.456194 12.66113 0.00661 
 2455230.458257 12.67076 0.00666 
 2455230.460315 12.65512 0.00657 
 2455230.462371 12.65630 0.00654 
 2455230.464434 12.65597 0.00647 
 2455230.466491 12.65972 0.00660 
 2455230.468552 12.66211 0.00661 
 2455230.470556 12.66693 0.00662 
 2455230.472615 12.66114 0.00658 
 2455230.474674 12.65885 0.00648 
 2455230.476733 12.64916 0.00647 
 2455230.478797 12.66335 0.00653 
 2455230.480911 12.66252 0.00663 
 2455230.482962 12.65875 0.00672 
 2455230.485019 12.66607 0.00664 
 2455230.487077 12.67262 0.00657 
 2455230.489135 12.67567 0.00665 
 2455230.491192 12.66363 0.00669 
 2455230.493255 12.66609 0.00671 
 2455230.495312 12.67076 0.00683 
 2455230.497372 12.65069 0.00668 
 2455230.499431 12.65694 0.00661 
 2455230.501490 12.66748 0.00661 
 2455230.503549 12.66115 0.00650 
 2455230.505606 12.66835 0.00644 
 2455230.507664 12.65547 0.00664 
 2455230.509721 12.66747 0.00682 
 2455230.511779 12.66019 0.00690 
 2455230.513838 12.67254 0.00686 
 2455230.515895 12.67042 0.00691 
 2455230.517951 12.66526 0.00669 
 2455230.520015 12.66553 0.00673 
 2455230.522075 12.66634 0.00686 
 2455230.524132 12.66073 0.00660 
 2455230.526189 12.67010 0.00676 
 2455230.528245 12.66031 0.00646 
 2455230.530306 12.66632 0.00678 
 2455230.532362 12.67340 0.00667 
 2455230.534424 12.66346 0.00670 
 2455230.536484 12.64984 0.00667 
 2455230.538542 12.67159 0.00661 
 2455230.540602 12.66301 0.00668 
 2455230.542661 12.67536 0.00675 
 2455230.544719 12.66465 0.00687 
 2455230.546775 12.66196 0.00674 
 2455230.548836 12.66285 0.00653 
 2455230.550894 12.65070 0.00669 
 2455230.552952 12.65537 0.00651 
 2455230.555005 12.66222 0.00651 
 2455230.557062 12.67422 0.00691 
 2455230.559121 12.64962 0.00687 
 2455230.561179 12.66403 0.00677 
 2455230.563241 12.66207 0.00680 
 2455230.565309 12.65894 0.00683 
 2455230.567367 12.66253 0.00689 
 2455230.569426 12.66022 0.00665 
 2455230.571484 12.64505 0.00683 
 2455230.573542 12.66274 0.00690 
 2455230.575605 12.67251 0.00703 
 2455230.577662 12.67114 0.00699 
 2455230.579722 12.65705 0.00666 
 2455230.581779 12.67065 0.00697 
