\INPUT_FILE = /exodata/ETSS-prep/KELT/s30/raw/KELT_S30_lc_029782_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Tue Sep 06, 03:07:23 2011"               
\STOP_DATE = "Wed Mar 04, 18:44:36 2015"               
\fixlen = T
\NUMRECORDS = 415      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 21, 16:39:28 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456954.554059 15.16065 0.06065 
 2456957.480397 15.32494 0.05587 
 2456957.560082 15.34718 0.05745 
 2456959.478204 15.30530 0.05873 
 2456959.549114 15.32427 0.05856 
 2456969.452996 15.38162 0.14141 
 2456969.510782 15.36864 0.13734 
 2456970.447057 15.37077 0.12087 
 2456970.506765 15.41611 0.11331 
 2456971.446879 15.39427 0.11087 
 2456979.421580 15.27124 0.05548 
 2456979.502925 15.25693 0.05255 
 2456980.510565 15.38809 0.05048 
 2456981.413303 15.40445 0.06483 
 2456981.487369 15.32795 0.14265 
 2456982.478029 15.33524 0.05253 
 2456982.511702 15.30885 0.04613 
 2456983.473632 15.37333 0.05165 
 2456983.546185 15.31962 0.04152 
 2456987.403928 15.41130 0.05529 
 2456988.406493 15.33940 0.06036 
 2456988.464499 15.43114 0.05222 
 2456989.397074 15.28517 0.05351 
 2456990.390905 15.27988 0.07464 
 2456990.450695 15.35964 0.05498 
 2456990.505607 15.26669 0.05008 
 2456991.452277 15.38103 0.06493 
 2456991.507210 15.45642 0.04992 
 2456993.440672 15.39620 0.08822 
 2456993.512591 15.34962 0.06212 
 2456997.372884 15.30564 0.15616 
 2456997.406960 15.32285 0.14341 
 2456997.465083 15.31927 0.13474 
 2456998.370117 15.21865 0.15929 
 2456998.423450 15.36471 0.14330 
 2456998.477410 15.37446 0.12075 
 2457005.350061 15.27124 0.05280 
 2457005.428638 15.32531 0.04903 
 2457007.344620 15.28201 0.05326 
 2457008.435090 15.41597 0.04691 
 2457009.339617 15.26610 0.05828 
 2457009.420028 15.46676 0.06071 
 2457010.337600 15.23808 0.05469 
 2457010.442191 15.37086 0.04692 
 2457011.335981 15.26954 0.05687 
 2457014.401874 15.29424 0.05796 
 2457014.471101 15.36153 0.05563 
 2457015.348517 15.36486 0.06166 
 2457015.428556 15.24957 0.05262 
 2457016.319328 15.28106 0.06162 
 2457016.386633 15.32619 0.05391 
 2457016.464460 15.34695 0.04648 
 2457023.417874 15.25575 0.09210 
 2457025.315849 15.28265 0.11838 
 2457026.315606 15.26981 0.12665 
 2457026.381170 15.36692 0.12039 
 2457028.344798 15.29496 0.11737 
 2457029.315072 15.45133 0.09880 
 2457029.379386 15.33199 0.09688 
 2457032.422398 15.30653 0.07118 
 2457033.349616 15.36969 0.05363 
 2457035.346410 15.31152 0.05101 
 2457036.403571 15.38464 0.04411 
 2457038.326014 15.31231 0.05032 
 2457038.386408 15.27074 0.04743 
 2457040.337309 15.32209 0.05280 
 2457042.328941 15.36697 0.04898 
 2457046.320575 15.33412 0.05747 
 2457046.377245 15.40227 0.05797 
 2457055.305893 15.32989 0.10837 
 2457055.357693 15.32586 0.11312 
 2457069.314309 15.30501 0.05544 
 2457084.280019 15.36471 0.10107 
 2457086.280974 15.40298 0.11681 
